Prime name	Color of berry skin	Country or region of origin of the variety	variety_id	Species	VVS2_1	VVS2_2	VVMD5_1	VVMD5_2	VVMD7_1	VVMD7_2	VVMD25_1	VVMD25_2	VVMD27_1	VVMD27_2	VVMD28_1	VVMD28_2	VVMD32_1	VVMD32_2	VRZAG62_1	VRZAG62_2	VRZAG79_1	VRZAG79_2
REGNER	BLANC	GERMANY	10000	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	228	230	247	249	239	255	180	182	234	258	252	264	186	194	245	255
REICHENSTEINER	BLANC	GERMANY	10004	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	151	230	230	247	257	249	255	182	182	244	248	252	264	194	194	245	259
RELIANCE	ROUGE	UNITED STATES OF AMERICA	10009	VITIS INTERSPECIFIC CROSSING	125	155	238	240	235	247	245	245	186	186	226	226	240	272	202	204	247	259
REMAILY SEEDLESS	BLANC	UNITED STATES OF AMERICA	10011	VITIS INTERSPECIFIC CROSSING	135	151	240	240	251	253	249	255	182	186	242	244	240	256	188	194	239	247
RESE DIREJIK	NOIR	TURKEY	10020	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	143	153	242	248	239	249			186	195	244	258	256	274	188	194	247	257
RESMEV	NOIR	TURKEY	10022	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	232	236	247	249			180	195	234	244			188	196	257	269
BERLANDIERI RESSEGUIER 1	NOIR	FRANCE	10024	VITIS BERLANDIERI PLANCHON	149	159	228	234	231	233	249	256	196	216	246	246			214	232	243	245
BERLANDIERI RESSEGUIER 2	NOIR	FRANCE	10025	VITIS BERLANDIERI PLANCHON	147	149	228	238	231	233	247	249	192	204	236	252	260	260	210	214	251	251
BARONE DELL'ATERNO	BLANC	ITALY	1003	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	143	234	238	247	249	249	255	186	195	234	244	240	272				
RETAGLIADO BIANCO	BLANC	ITALY	10035	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	155	228	236	233	243	239	243	180	186	244	260	252	262	188	196	251	251
REZE	BLANC	SWITZERLAND	10045	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	133	228	230	247	249	239	241	186	190	244	268	240	262	194	200	247	251
BAROQUE	BLANC	FRANCE	1005	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	155	228	236	239	249	239	255	180	190	246	268	240	240	196	200	243	255
KRIVALJA BIJELA	BLANC	YUGOSLAVIA	10050	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	149	240	248	249	249	245	249	180	188	244	258	256	262	188	204	251	251
RIBOL	NOIR	FRANCE	10053	VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI	133	137	228	238	249	255	239	255	186	195	244	260	262	272	204	204	251	257
